Name,URI,Region_GSS_code,Period,SalesVolume,ReportingPeriod,housePriceIndex,averagePrice,percentageChangeMonthly,percentageAnnualChange
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2014-10,373,monthly,98.89,313948,0.7,20.57
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2016-03,579,monthly,113.54,360461,-1.44,14.41
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2007-10,435,monthly,75.0,238107,0.72,11.82
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2009-03,122,monthly,65.48,207864,-2.6,-13.18
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2014-11,320,monthly,98.21,311783,-0.69,18.25
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2016-05,198,monthly,118.55,376366,2.6,17.7
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2016-06,306,monthly,119.94,380772,1.17,16.08
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2016-07,258,monthly,119.56,379564,-0.32,12.2
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2016-08,392,monthly,119.52,379424,-0.04,11.26
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2016-09,317,monthly,119.19,378395,-0.27,10.73
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2016-10,346,monthly,117.95,374438,-1.05,9.15
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2016-11,280,monthly,116.81,370823,-0.97,6.88
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2016-12,318,monthly,118.03,374685,1.04,4.01
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2017-01,259,monthly,118.84,377265,0.69,3.27
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2017-02,215,monthly,119.61,379704,0.65,3.82
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2017-03,270,monthly,118.22,375294,-1.16,4.12
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2017-04,201,monthly,119.04,377910,0.7,3.02
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2017-05,207,monthly,119.47,379262,0.36,0.77
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2017-06,271,monthly,121.91,387012,2.04,1.64
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2017-07,199,monthly,125.36,397963,2.83,4.85
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2017-08,,monthly,125.31,397795,-0.04,4.84
'Greenwich',http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2017-09,,monthly,125.27,397683,-0.03,5.1
